benchmark,dataset_id,dataset_dir,dataset_name,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
talent_cls,credit,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,credit.csv,13371,3343,10,2,0.7813341310200419,0.78128998039188,0.47131290590005,0.0660159587860107,5.024412393569946,ok,
talent_cls,eeg-eye-state,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,eeg-eye-state.csv,11984,2996,14,2,0.9879839786381842,0.9879797008167498,0.0331218022504281,0.07979416847229,4.773761749267578,ok,
talent_cls,house_16H,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,house_16H.csv,10790,2698,16,2,0.8891771682727947,0.8891767876569596,0.2602124703941901,0.0930390357971191,4.360592365264893,ok,
talent_cls,kc1,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,kc1.csv,1687,422,21,2,0.8696682464454977,0.8451151386330102,0.3090260986061534,0.0296306610107421,0.773627519607544,ok,
talent_cls,mobile_c36_oversampling,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,mobile_c36_oversampling.csv,41408,10352,6,2,0.9887944358578052,0.9888011414716842,0.0335027280215207,0.1207301616668701,21.869664192199707,ok,
talent_cls,ozone_level,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,ozone_level.csv,2028,508,36,2,0.970472440944882,0.9559298968747788,0.0970194369283262,0.0781383514404296,1.1822497844696045,ok,
talent_cls,pol,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,pol.csv,8065,2017,26,2,0.9885969261279128,0.9885968700693648,0.0350938859464523,0.0863208770751953,4.007115840911865,ok,
talent_cls,shrutime,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,shrutime.csv,8000,2000,10,2,0.8615,0.8468437273998083,0.3371181107573078,0.0484697818756103,2.7093923091888428,ok,
talent_cls,taiwanese_bankruptcy_prediction,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,taiwanese_bankruptcy_prediction.csv,5455,1364,95,2,0.9714076246334312,0.9630064081676984,0.0873468729227927,0.2286782264709472,6.316177129745483,ok,
talent_cls,BLE_RSSI_dataset_for_Indoor_localization,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/multiclass,BLE_RSSI_dataset_for_Indoor_localization.csv,7987,1997,3,3,0.7305958938407612,0.7304536739339857,0.6152996741905982,0.01908540725708,1.2788240909576416,ok,
