ckpt,ckpt_path,started_at,finished_at,total_wall_seconds,talent_avg_acc,talent_wall_seconds,talent_discovered_pairs,talent_processed_pairs,talent_failed_count,talent_missing_test_count
step-39900.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39900.ckpt,2026-02-07 17:02:23,2026-02-07 17:02:54,27.903000,(none),27.903,175,175,175,0
step-39950.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-39950.ckpt,2026-02-07 17:02:55,2026-02-07 17:03:40,40.781000,(none),40.781,175,175,175,0
step-40000.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40000.ckpt,2026-02-07 17:03:40,2026-02-07 17:04:12,27.707000,(none),27.707,175,175,175,0
step-40050.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40050.ckpt,2026-02-07 17:04:12,2026-02-07 17:04:56,40.605000,(none),40.605,175,175,175,0
step-40100.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40100.ckpt,2026-02-07 17:04:56,2026-02-07 17:05:28,28.232000,(none),28.232,175,175,175,0
step-40150.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40150.ckpt,2026-02-07 17:05:28,2026-02-07 17:06:15,42.656000,(none),42.656,175,175,175,0
step-40200.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40200.ckpt,2026-02-07 17:06:15,2026-02-07 17:06:47,27.912000,(none),27.912,175,175,175,0
step-40250.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40250.ckpt,2026-02-07 17:06:47,2026-02-07 17:07:31,40.293000,(none),40.293,175,175,175,0
step-40300.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40300.ckpt,2026-02-07 17:07:31,2026-02-07 17:08:02,27.533000,(none),27.533,175,175,175,0
step-40350.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40350.ckpt,2026-02-07 17:08:02,2026-02-07 17:08:46,40.059000,(none),40.059,175,175,175,0
step-40400.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir1/step-40400.ckpt,2026-02-07 17:08:46,2026-02-07 17:09:17,27.158000,(none),27.158,175,175,175,0
